index,ID,F,stored,readback,direct,used_source,reason
19909,,,,,0.048232078552246094,direct,missing_value
19966,,,,,0.068603515625,direct,missing_value
20014,,,,,0.003997802734375,direct,missing_value
20021,,,,,0.10930550890043378,direct,missing_value
20057,,,,,0.03658008575439453,direct,missing_value
20154,,,,,0.06115370988845825,direct,missing_value
20178,,,,,0.06044134497642517,direct,missing_value
20259,,,,,0.015038490295410156,direct,missing_value
20263,,,,,0.07204093501536804,direct,missing_value
20369,,,,,0.0031414031982421875,direct,missing_value
20408,,,,,0.01953125,direct,missing_value
20456,,,,,0.0716309808192888,direct,missing_value
20486,,,,,0.0646932670668827,direct,missing_value
20532,,,,,0.13170405172127175,direct,missing_value
20535,,,,,0.038481712341308594,direct,missing_value
20633,,,,,0.08396260311482168,direct,missing_value
20671,,,,,0.1105862948752474,direct,missing_value
20777,,,,,0.08222630950394445,direct,missing_value
20795,,,,,0.07792961597442627,direct,missing_value
20803,,,,,0.01171875,direct,missing_value
20854,,,,,0.01943206787109375,direct,missing_value
20872,,,,,0.03976130485534668,direct,missing_value
20922,,,,,0.1402353569749124,direct,missing_value
20930,,,,,0.1716490751828701,direct,missing_value
20970,,,,,0.07159194629639387,direct,missing_value
21006,,,,,0.14138245772801383,direct,missing_value
21094,,,,,0.0687958747449956,direct,missing_value
21138,,,,,0.13459274685550326,direct,missing_value
21143,,,,,0.0030517578125,direct,missing_value
21155,,,,,0.1441017508332152,direct,missing_value
21206,,,,,0.013787269592285156,direct,missing_value
21306,,,,,0.1057505436063583,direct,missing_value
21391,,,,,0.09444022178649902,direct,missing_value
21426,,,,,0.005859375,direct,missing_value
21491,,,,,0.02477613091468811,direct,missing_value
21561,,,,,0.0244293212890625,direct,missing_value
21611,,,,,0.013671875,direct,missing_value
21715,,,,,0.12007370086024594,direct,missing_value
21789,,,,,0.0023193359375,direct,missing_value
21903,,,,,0.3157312815284623,direct,missing_value
21956,,,,,0.16243811352012472,direct,missing_value
22009,,,,,0.06478087604045868,direct,missing_value
22016,,,,,0.09213019808407052,direct,missing_value
22104,,,,,0.15617029107397684,direct,missing_value
22200,,,,,0.14690019231056795,direct,missing_value
22230,,,,,0.07407392113525886,direct,missing_value
22330,,,,,0.10147582490844798,direct,missing_value
22340,,,,,2.09808349609375e-05,direct,missing_value
22352,,,,,0.08306014537811279,direct,missing_value
22422,,,,,0.0117950439453125,direct,missing_value
22435,,,,,0.1368203804076984,direct,missing_value
22487,,,,,0.0862249367346974,direct,missing_value
22599,,,,,0.08376489199426512,direct,missing_value
22636,,,,,0.05604451580438763,direct,missing_value
22791,,,,,0.14673497760668397,direct,missing_value
22893,,,,,0.09217075691653775,direct,missing_value
22956,,,,,0.0209197998046875,direct,missing_value
22961,,,,,0.09682683758422783,direct,missing_value
23000,,,,,0.1194099949310589,direct,missing_value
23039,,,,,0.03526806831359863,direct,missing_value
23043,,,,,0.12212452560197562,direct,missing_value
23067,,,,,0.09379761489127256,direct,missing_value
23078,,,,,0.01915740966796875,direct,missing_value
23081,,,,,0.041850924491882324,direct,missing_value
23150,,,,,0.04530249536037445,direct,missing_value
23195,,,,,0.1683547140733621,direct,missing_value
23215,,,,,0.22249814234783116,direct,missing_value
23252,,,,,0.10981381696327075,direct,missing_value
23283,,,,,0.0,direct,missing_value
23285,,,,,0.16528380724147773,direct,missing_value
23322,,,,,0.07597172365334785,direct,missing_value
23375,,,,,0.10038347764748323,direct,missing_value
23521,,,,,0.07720184326171875,direct,missing_value
23585,,,,,0.15587905873485397,direct,missing_value
23593,,,,,0.08572518825531006,direct,missing_value
23724,,,,,0.031435802578926086,direct,missing_value
23756,,,,,0.1055583409385511,direct,missing_value
23760,,,,,0.06206154823303223,direct,missing_value
23767,,,,,0.08218560687964782,direct,missing_value
23798,,,,,0.08092169063988486,direct,missing_value
23883,,,,,0.1764150132723472,direct,missing_value
23943,,,,,0.1439805084787622,direct,missing_value
24086,,,,,0.044746889617977126,direct,missing_value
24110,,,,,0.038990073522973026,direct,missing_value
24115,,,,,0.0687958747449956,direct,missing_value
24265,,,,,0.12703452243454194,direct,missing_value
24421,,,,,0.018310546875,direct,missing_value
24478,,,,,0.044428348541259766,direct,missing_value
24485,,,,,0.10983846780640141,direct,missing_value
24591,,,,,0.04944610595703125,direct,missing_value
24670,,,,,0.051915645599365234,direct,missing_value
24753,,,,,0.08276346636898696,direct,missing_value
24874,,,,,0.11546833295316652,direct,missing_value
24923,,,,,0.08259560795211043,direct,missing_value
24954,,,,,0.07693642377853394,direct,missing_value
24965,,,,,0.04120588302612305,direct,missing_value
25026,,,,,0.12787762950756587,direct,missing_value
25096,,,,,0.034145355224609375,direct,missing_value
25223,,,,,0.09573822654783726,direct,missing_value
25266,,,,,0.07222804427146912,direct,missing_value
25272,,,,,0.00048828125,direct,missing_value
25323,,,,,0.13823037183465203,direct,missing_value
25362,,,,,0.11748809373785946,direct,missing_value
25363,,,,,0.10156213592703199,direct,missing_value
25822,,,,,0.16793915710599094,direct,missing_value
25849,,,,,0.07492233905941248,direct,missing_value
25991,,,,,0.008742570877075195,direct,missing_value
26037,,,,,0.07919532339566443,direct,missing_value
26142,,,,,0.044892311096191406,direct,missing_value
26264,,,,,0.11727082398692801,direct,missing_value
26271,,,,,0.08423616641972839,direct,missing_value
26315,,,,,0.11557508900295943,direct,missing_value
26361,,,,,0.06478087604045868,direct,missing_value
26465,,,,,0.0074462890625,direct,missing_value
26512,,,,,0.12503397136970307,direct,missing_value
26569,,,,,0.12137438892386854,direct,missing_value
26592,,,,,0.060302471839978264,direct,missing_value
26675,,,,,0.0527143693014146,direct,missing_value
26741,,,,,0.1678905387235332,direct,missing_value
26808,,,,,0.1479975611291593,direct,missing_value
26982,,,,,0.16799426078796387,direct,missing_value
26997,,,,,0.11850327253341675,direct,missing_value
27005,,,,,0.16515070252494723,direct,missing_value
27029,,,,,0.04903125762939453,direct,missing_value
27163,,,,,0.0646207258105278,direct,missing_value
27282,,,,,0.000457763671875,direct,missing_value
27337,,,,,0.06640243530273438,direct,missing_value
27569,,,,,0.057605644082165994,direct,missing_value
27609,,,,,0.15216874540783465,direct,missing_value
27689,,,,,0.07179142534732819,direct,missing_value
27751,,,,,0.12284353487484623,direct,missing_value
27774,,,,,0.12056142406072468,direct,missing_value
27778,,,,,0.09311557904759371,direct,missing_value
27826,,,,,0.0928037166595459,direct,missing_value
27860,,,,,0.00030517578125,direct,missing_value
27873,,,,,0.11013941466808319,direct,missing_value
27896,,,,,0.017578125,direct,missing_value
28175,,,,,0.07834060696232265,direct,missing_value
28219,,,,,0.08208493397299071,direct,missing_value
28229,,,,,0.00146484375,direct,missing_value
28263,,,,,0.15823272250275977,direct,missing_value
28299,,,,,0.050861358642578125,direct,missing_value
28302,,,,,0.056106775999069214,direct,missing_value
28389,,,,,0.0444488525390625,direct,missing_value
28396,,,,,0.03873896598815918,direct,missing_value
28489,,,,,0.14858699939213693,direct,missing_value
28631,,,,,0.03636741638183594,direct,missing_value
28632,,,,,0.10041095765301955,direct,missing_value
28799,,,,,0.12513207454321673,direct,missing_value
28820,,,,,0.13346175668993965,direct,missing_value
28834,,,,,0.0540008544921875,direct,missing_value
28918,,,,,0.14719256361968291,direct,missing_value
28993,,,,,0.019989013671875,direct,missing_value
29058,,,,,0.03600883483886719,direct,missing_value
29322,,,,,0.06881366165196035,direct,missing_value
29390,,,,,0.04965400695800781,direct,missing_value
29482,,,,,0.0059051513671875,direct,missing_value
29568,,,,,0.11649807815410895,direct,missing_value
29573,,,,,0.10282095894217491,direct,missing_value
29576,,,,,0.08564063906669617,direct,missing_value
29656,,,,,0.00634765625,direct,missing_value
29676,,,,,0.0580896889055198,direct,missing_value
29696,,,,,0.2529755408177152,direct,missing_value
29827,,,,,0.09987208897385451,direct,missing_value
29831,,,,,0.01141357421875,direct,missing_value
29835,,,,,0.084325360397429,direct,missing_value
29844,,,,,0.08327569874860874,direct,missing_value
29870,,,,,0.095266354572684,direct,missing_value
30212,,,,,0.0146484375,direct,missing_value
30308,,,,,0.0738824798373771,direct,missing_value
30331,,,,,0.08201943687163293,direct,missing_value
30391,,,,,0.06134226588695367,direct,missing_value
30563,,,,,0.057204646704287265,direct,missing_value
30577,,,,,0.10218562185764313,direct,missing_value
30671,,,,,0.0071563720703125,direct,missing_value
30688,,,,,0.04660630226135254,direct,missing_value
30692,,,,,0.033447265625,direct,missing_value
30724,,,,,0.15949042798693824,direct,missing_value
30733,,,,,0.0823612996173324,direct,missing_value
30762,,,,,0.15960165261640213,direct,missing_value
30833,,,,,0.09839291719497338,direct,missing_value
30850,,,,,0.08441444488540123,direct,missing_value
30884,,,,,0.07856959849596024,direct,missing_value
30906,,,,,0.08651863783597946,direct,missing_value
30977,,,,,0.01171875,direct,missing_value
31005,,,,,0.08531216099262301,direct,missing_value
31092,,,,,0.10288107165548041,direct,missing_value
31236,,,,,0.04755878448486328,direct,missing_value
31296,,,,,0.06299245357513428,direct,missing_value
31339,,,,,0.13084400051616285,direct,missing_value
31342,,,,,0.20019351886458026,direct,missing_value
31363,,,,,0.09033169969916344,direct,missing_value
31421,,,,,0.13800786688248226,direct,missing_value
31478,,,,,0.09213019808407052,direct,missing_value
31528,,,,,0.07514190673828125,direct,missing_value
31677,,,,,0.21835334412753582,direct,missing_value
31793,,,,,0.1362443221732974,direct,missing_value
31911,,,,,0.015289306640625,direct,missing_value
31926,,,,,0.1578398012408977,direct,missing_value
31983,,,,,0.04946541786193848,direct,missing_value
32029,,,,,0.06603738394751571,direct,missing_value
32064,,,,,0.10830383910744051,direct,missing_value
32174,,,,,0.05044865608215332,direct,missing_value
32178,,,,,0.16238908316518064,direct,missing_value
32276,,,,,0.1800189841305837,direct,missing_value
32345,,,,,0.15949042798693824,direct,missing_value
32528,,,,,0.12229190172820381,direct,missing_value
32550,,,,,0.16463325949348473,direct,missing_value
32555,,,,,0.03577530384063721,direct,missing_value
32563,,,,,0.12631784561761336,direct,missing_value
32605,,,,,0.08478329276747026,direct,missing_value
33018,,,,,0.08132326556369662,direct,missing_value
33036,,,,,0.20580080956381863,direct,missing_value
33059,,,,,0.5509285926818848,direct,missing_value
33178,,,,,0.07009477913379669,direct,missing_value
33283,,,,,0.09471028663057662,direct,missing_value
33354,,,,,0.09198716005548434,direct,missing_value
33392,,,,,0.0204010009765625,direct,missing_value
33445,,,,,0.03511810302734375,direct,missing_value
33590,,,,,0.0150146484375,direct,missing_value
33595,,,,,0.1681965748721268,direct,missing_value
33614,,,,,0.05680084228515625,direct,missing_value
33685,,,,,0.03363037109375,direct,missing_value
33709,,,,,0.06718538956336381,direct,missing_value
33733,,,,,0.0896434362776732,direct,missing_value
33739,,,,,0.11546833295316652,direct,missing_value
33841,,,,,0.015766143798828125,direct,missing_value
34123,,,,,0.06487565805800077,direct,missing_value
34134,,,,,0.016357421875,direct,missing_value
34149,,,,,0.11331705978591344,direct,missing_value
34162,,,,,0.053150177001953125,direct,missing_value
34268,,,,,0.16463325949348473,direct,missing_value
34319,,,,,0.04526519775390625,direct,missing_value
34462,,,,,0.065673828125,direct,missing_value
34469,,,,,0.0040580034255981445,direct,missing_value
34535,,,,,0.11649807815410895,direct,missing_value
34555,,,,,0.23219775588516178,direct,missing_value
34568,,,,,0.04907941818237305,direct,missing_value
34573,,,,,0.09164253721246496,direct,missing_value
34622,,,,,0.045185089111328125,direct,missing_value
34631,,,,,0.06075895577669144,direct,missing_value
34674,,,,,0.06870996952056885,direct,missing_value
34722,,,,,0.15926241717131973,direct,missing_value
34726,,,,,0.1540529215951556,direct,missing_value
34754,,,,,0.09842813758664258,direct,missing_value
34772,,,,,0.09021950279197108,direct,missing_value
34788,,,,,0.09329577890584687,direct,missing_value
34789,,,,,0.03104832023382187,direct,missing_value
34944,,,,,0.0318358838558197,direct,missing_value
35034,,,,,0.0726179284722095,direct,missing_value
35097,,,,,0.11245243716984987,direct,missing_value
35122,,,,,0.1558018685959155,direct,missing_value
35123,,,,,0.05973339080810547,direct,missing_value
35252,,,,,0.07328547076330676,direct,missing_value
35279,,,,,0.06069996953010559,direct,missing_value
35418,,,,,0.06328964233398438,direct,missing_value
35426,,,,,0.050260305404663086,direct,missing_value
35446,,,,,0.018632888793945312,direct,missing_value
35485,,,,,0.023545503616333008,direct,missing_value
35538,,,,,0.04755878448486328,direct,missing_value
35638,,,,,0.07544825741130119,direct,missing_value
35648,,,,,0.23993192273155728,direct,missing_value
35693,,,,,0.04509061574935913,direct,missing_value
35756,,,,,0.13651647083082707,direct,missing_value
35812,,,,,0.18411112268782404,direct,missing_value
35816,,,,,0.10319685227024585,direct,missing_value
35997,,,,,0.07209043893999478,direct,missing_value
36108,,,,,0.0895382878370583,direct,missing_value
36176,,,,,0.06328964233398438,direct,missing_value
36203,,,,,0.07789256454460744,direct,missing_value
36295,,,,,0.09750024110184748,direct,missing_value
36489,,,,,0.08978548865296268,direct,missing_value
36498,,,,,0.09351897856171094,direct,missing_value
36504,,,,,0.023545503616333008,direct,missing_value
